"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"51","2",\N,"16","3","1","2018-09-20","4","④毎月15日以降／月～土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2018-07-19 16:49:37","A1589","2018-08-03 11:11:57","1","2"
"52","2",\N,"8","29","1","2018-08-15","3","①毎月15日以降／月～木／1枠","帯1","0",\N,"4","0","0000","2300","1","9",\N,"CUSTUMER","2018-07-23 20:30:40","A1589","2018-08-03 11:18:09","0","1"
"53","2",\N,"8","29","1","2018-08-15","3","①毎月15日以降／月～木／1枠","帯1","0",\N,"4","0","0000","2300","1","1","1","CUSTUMER","2018-07-23 20:30:40","A1589","2018-08-03 11:18:09","0","1"
"54","2",\N,"16","2","1","2018-08-17","5","④毎月15日以降／月～土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-07-24 11:11:09","A1589","2018-08-03 11:10:10","1","2"
"55","2",\N,"16","2","1","2018-08-17","5","④毎月15日以降／月～土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-07-24 11:11:09","A1589","2018-08-03 11:10:10","1","2"
"56","2",\N,"8","29","1","2018-08-15","3","①毎月15日以降／月～木／1枠","帯1","0",\N,"4","0","0000","2300","1","1","2","A2064","2018-07-31 14:20:17","A1589","2018-08-03 11:18:09","0","1"
"57","2",\N,"8","29","1","2018-08-15","3","①毎月15日以降／月～木／1枠","帯1","0",\N,"4","0","0000","2300","1","1","3","A2064","2018-07-31 14:21:09","A1589","2018-08-03 11:18:09","0","1"
"58","2",\N,"15","2","1","2018-08-15","3","③毎月15日以降／月～木・土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-08-03 07:23:49","A1589","2018-08-03 11:04:51","1","2"
"59","2",\N,"15","2","1","2018-08-15","3","③毎月15日以降／月～木・土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-08-03 07:23:49","A1589","2018-08-03 11:04:51","1","3"
"60","2",\N,"8","29","1","2018-08-15","3","①毎月15日以降／月～金土／1枠","帯1","0",\N,"4","0","0000","2300","1","1","4","A1589","2018-08-03 11:04:51","A1589","2018-08-03 11:18:09","0","1"
"61","2",\N,"8","30","1","2018-08-17","5","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A1589","2018-08-03 11:10:10","A1589","2018-08-03 11:29:33","0","1"
"62","2",\N,"8","30","1","2018-08-17","5","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A1589","2018-08-03 11:10:10","A1589","2018-08-03 11:29:33","0","1"
"63","2",\N,"8","30","1","2018-09-20","4","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A1589","2018-08-03 11:11:57","A1589","2018-08-03 11:29:33","0","1"
"64","2",\N,"8","30","1","2018-09-20","4","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A1589","2018-08-03 11:11:57","A1589","2018-08-03 11:29:33","0","1"
"65","2",\N,"8","30","1","2018-08-18","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-08-06 17:15:04","CUSTUMER","2018-08-06 17:15:04","0","1"
"66","2",\N,"8","30","1","2018-08-18","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-08-06 17:15:04","CUSTUMER","2018-08-06 17:15:04","0","1"
"67","2",\N,"8","30","1","2018-09-01","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-08-23 10:36:10","CUSTUMER","2018-08-23 10:36:10","0","1"
"68","2",\N,"8","30","1","2018-09-01","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-08-23 10:36:10","CUSTUMER","2018-08-23 10:36:10","0","1"
"69","2",\N,"18","1","1","2018-08-30","4","プレミアムコース","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A1589","2018-08-23 14:59:57","A1589","2018-08-23 14:59:57","0","1"
"70","2",\N,"18","1","1","2018-08-30","4","プレミアムコース","帯1","0",\N,"1","0","0000","2300","1","1","1","A1589","2018-08-23 14:59:57","A1589","2018-08-23 14:59:57","0","1"
"71","2",\N,"18","104","1","2018-11-26","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-13 10:17:24","B42400","2018-11-02 09:21:20","0","1"
"72","2",\N,"18","104","1","2018-11-26","1","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-13 10:17:24","B42400","2018-11-02 09:21:20","0","1"
"73","2",\N,"8","30","1","2018-09-29","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-22 03:40:05","CUSTUMER","2018-09-22 03:40:05","0","1"
"74","2",\N,"8","30","1","2018-09-29","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-22 03:40:05","CUSTUMER","2018-09-22 03:40:05","0","1"
"75","2",\N,"8","30","1","2018-10-13","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-22 17:30:37","CUSTUMER","2018-09-22 17:30:37","0","1"
"76","2",\N,"8","30","1","2018-10-13","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-22 17:30:37","CUSTUMER","2018-09-22 17:30:37","0","1"
"77","2",\N,"8","30","1","2018-10-20","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-27 20:42:55","CUSTUMER","2018-09-27 20:42:55","0","1"
"78","2",\N,"8","30","1","2018-10-20","6","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-27 20:42:55","CUSTUMER","2018-09-27 20:42:55","0","1"
"79","2",\N,"18","1","1","2018-10-11","4","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-29 20:21:17","CUSTUMER","2018-09-29 20:21:17","0","1"
"80","2",\N,"18","1","1","2018-10-11","4","プレミアムコース※月～金","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-09-29 20:21:17","CUSTUMER","2018-09-29 20:21:17","0","1"
"81","2",\N,"8","30","1","2018-10-09","2","①毎月15日以降／月～金土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-09-30 16:20:05","CUSTUMER","2018-09-30 16:20:05","0","1"
